ticker	label	date	open	high	low	close	volume	currency
FR0000121220	SODEXO	06/02/2020	97,000	97,280	95,800	96,220	422336	EUR
FR0000121220	SODEXO	07/02/2020	96,340	97,260	96,000	97,260	289123	EUR
FR0000121220	SODEXO	10/02/2020	97,500	98,300	97,160	98,300	373907	EUR
FR0000121220	SODEXO	11/02/2020	98,660	99,340	98,500	98,520	527973	EUR
FR0000121220	SODEXO	12/02/2020	98,780	99,140	98,180	98,800	413229	EUR
FR0000121220	SODEXO	13/02/2020	98,440	99,140	98,300	98,880	268342	EUR
FR0000121220	SODEXO	14/02/2020	100,300	102,050	99,820	99,820	344867	EUR
FR0000121220	SODEXO	17/02/2020	100,000	100,350	99,220	99,860	146458	EUR
FR0000121220	SODEXO	18/02/2020	99,020	100,500	99,020	100,500	306335	EUR
FR0000121220	SODEXO	19/02/2020	100,500	101,500	100,200	100,550	196258	EUR
FR0000121220	SODEXO	20/02/2020	100,700	101,650	100,250	101,450	315205	EUR
FR0000121220	SODEXO	21/02/2020	101,450	101,450	100,550	101,100	271958	EUR
FR0000121220	SODEXO	24/02/2020	99,360	99,360	95,980	97,500	534361	EUR
FR0000121220	SODEXO	25/02/2020	97,400	98,060	95,080	95,080	329065	EUR
FR0000121220	SODEXO	26/02/2020	94,440	95,720	92,080	92,240	607704	EUR
FR0000121220	SODEXO	27/02/2020	90,860	90,960	88,920	89,100	535636	EUR
FR0000121220	SODEXO	28/02/2020	86,980	87,580	85,040	86,740	646092	EUR
FR0000121220	SODEXO	02/03/2020	88,000	88,280	84,980	86,500	832507	EUR
FR0000121220	SODEXO	03/03/2020	87,400	88,020	86,360	86,360	591442	EUR
FR0000121220	SODEXO	04/03/2020	86,740	87,220	83,000	83,620	736881	EUR
FR0000121220	SODEXO	05/03/2020	85,000	85,100	82,600	82,600	671189	EUR
FR0000121220	SODEXO	06/03/2020	81,500	81,660	79,420	81,140	845600	EUR
FR0000121220	SODEXO	09/03/2020	78,220	78,540	76,120	77,460	939067	EUR
FR0000121220	SODEXO	10/03/2020	77,480	80,640	75,700	76,020	891285	EUR
FR0000121220	SODEXO	11/03/2020	77,040	77,360	72,520	72,880	1339435	EUR
FR0000121220	SODEXO	12/03/2020	69,280	69,860	62,420	62,720	1653712	EUR
FR0000121220	SODEXO	13/03/2020	64,260	67,720	61,160	62,720	1264934	EUR
FR0000121220	SODEXO	16/03/2020	59,000	59,000	52,540	56,480	1168605	EUR
FR0000121220	SODEXO	17/03/2020	58,600	58,860	51,760	52,080	905835	EUR
FR0000121220	SODEXO	18/03/2020	52,300	57,340	50,000	52,500	767924	EUR
FR0000121220	SODEXO	19/03/2020	53,360	57,460	48,450	50,420	965061	EUR
FR0000121220	SODEXO	20/03/2020	53,000	59,400	53,000	56,480	781793	EUR
FR0000121220	SODEXO	23/03/2020	55,700	58,380	54,000	56,000	483828	EUR
FR0000121220	SODEXO	24/03/2020	58,500	62,500	55,760	62,400	709207	EUR
FR0000121220	SODEXO	25/03/2020	62,000	67,000	59,440	61,060	578356	EUR
FR0000121220	SODEXO	26/03/2020	60,880	65,660	60,020	65,660	403882	EUR
FR0000121220	SODEXO	27/03/2020	65,000	66,960	60,120	60,400	345456	EUR
FR0000121220	SODEXO	30/03/2020	60,000	60,600	57,900	59,480	291097	EUR
